# n	O(n)
2	213
4	115
8	95
16	105
32	141
64	213
128	462
256	889
512	1797
1024	3604
2048	7218
4096	15771
8192	31422
16384	64401
32768	128791
65536	232569
131072	478386
262144	967125
524288	1903795
1048576	3823071
